epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2142,0.68522,2.43731,1.2552,0.20251,0.58596,0.29706,0.22094,0.68199,2.92943,1.27214,0.00033,0.00033,0.00033
2,45.7002,0.6905,1.60507,1.23413,0.27387,0.56733,0.31228,0.22017,0.8417,2.28063,1.45235,0.000650199,0.000650199,0.000650199
3,66.9307,0.71164,1.39934,1.24018,0.28747,0.42077,0.29744,0.20261,0.98119,2.9199,1.55916,0.000957199,0.000957199,0.000957199
4,87.9657,0.71383,1.29191,1.229,0.36935,0.64496,0.49565,0.38793,0.76445,1.91859,1.33706,0.0009406,0.0009406,0.0009406
5,108.839,0.69135,1.15397,1.22762,0.37084,0.62509,0.47697,0.34492,0.74409,1.76781,1.30363,0.0009208,0.0009208,0.0009208
6,129.663,0.66939,1.01918,1.2032,0.42921,0.62829,0.5285,0.41363,0.7222,1.65516,1.25391,0.000901,0.000901,0.000901
7,150.53,0.65021,0.96201,1.19108,0.48517,0.6418,0.52026,0.39699,0.78714,1.58115,1.30735,0.0008812,0.0008812,0.0008812
8,171.295,0.62949,0.8986,1.18374,0.52799,0.70528,0.62131,0.51866,0.62131,1.42621,1.12561,0.0008614,0.0008614,0.0008614
9,192.111,0.63789,0.86679,1.1749,0.45328,0.65016,0.59158,0.49045,0.62238,1.63105,1.10914,0.0008416,0.0008416,0.0008416
10,212.794,0.60621,0.82144,1.16619,0.4894,0.64211,0.61056,0.48413,0.65988,1.44486,1.16455,0.0008218,0.0008218,0.0008218
11,233.537,0.58716,0.78638,1.14982,0.42604,0.62662,0.47145,0.37222,0.76503,2.04552,1.27321,0.000802,0.000802,0.000802
12,254.367,0.58257,0.77049,1.14649,0.50683,0.68883,0.58836,0.4797,0.66566,1.72945,1.17331,0.0007822,0.0007822,0.0007822
13,275.157,0.56925,0.73354,1.1331,0.40425,0.681,0.60057,0.5074,0.59895,1.87324,1.06534,0.0007624,0.0007624,0.0007624
14,295.8,0.54529,0.69473,1.11668,0.60081,0.73397,0.74553,0.64246,0.53918,1.17915,1.02905,0.0007426,0.0007426,0.0007426
15,316.543,0.55325,0.68187,1.11551,0.61712,0.72394,0.69728,0.6015,0.54636,1.33707,1.02393,0.0007228,0.0007228,0.0007228
16,337.562,0.55438,0.66848,1.13067,0.58095,0.62089,0.61822,0.53516,0.56763,1.57988,1.04535,0.000703,0.000703,0.000703
17,358.266,0.54175,0.64253,1.10907,0.54794,0.74026,0.69766,0.60288,0.55959,1.14749,1.04305,0.0006832,0.0006832,0.0006832
18,379.054,0.53819,0.61498,1.10476,0.56539,0.78093,0.75749,0.64172,0.59359,1.20615,1.0622,0.0006634,0.0006634,0.0006634
19,399.848,0.51583,0.59107,1.10255,0.65757,0.71602,0.73715,0.6481,0.53837,1.16636,1.01162,0.0006436,0.0006436,0.0006436
20,420.573,0.49732,0.58565,1.09281,0.62674,0.79827,0.75001,0.64837,0.5452,1.0456,1.01641,0.0006238,0.0006238,0.0006238
21,441.307,0.50819,0.58691,1.0976,0.58183,0.76883,0.72131,0.63662,0.50303,1.17128,0.98569,0.000604,0.000604,0.000604
22,462,0.49217,0.57353,1.08523,0.59384,0.76127,0.73926,0.62125,0.62647,1.14976,1.06052,0.0005842,0.0005842,0.0005842
23,482.861,0.49235,0.56912,1.08197,0.59224,0.7086,0.67488,0.58114,0.56959,1.57768,1.01836,0.0005644,0.0005644,0.0005644
24,503.708,0.4746,0.53995,1.07048,0.68298,0.75509,0.7772,0.68215,0.51026,1.07231,0.97881,0.0005446,0.0005446,0.0005446
25,524.46,0.46939,0.5227,1.07158,0.71594,0.80298,0.82711,0.73405,0.47635,0.89056,0.94183,0.0005248,0.0005248,0.0005248
26,545.34,0.47466,0.51532,1.07866,0.65472,0.79509,0.77723,0.6847,0.5058,1.01738,0.97261,0.000505,0.000505,0.000505
27,566.117,0.45114,0.50403,1.06014,0.6643,0.83712,0.8128,0.72925,0.4611,0.87167,0.92646,0.0004852,0.0004852,0.0004852
28,586.787,0.44146,0.50685,1.04959,0.65195,0.79665,0.75219,0.66938,0.48111,1.16018,0.94908,0.0004654,0.0004654,0.0004654
29,607.552,0.44985,0.4956,1.05374,0.73089,0.7335,0.8113,0.73237,0.4491,0.90255,0.91313,0.0004456,0.0004456,0.0004456
30,628.392,0.44117,0.4956,1.04829,0.70275,0.78456,0.82734,0.74101,0.47458,0.83296,0.93725,0.0004258,0.0004258,0.0004258
31,649.174,0.43329,0.46883,1.04449,0.69867,0.83767,0.83617,0.745,0.4626,0.84052,0.93963,0.000406,0.000406,0.000406
32,670.068,0.42898,0.45239,1.04671,0.74972,0.77101,0.82892,0.74155,0.48762,0.88289,0.94317,0.0003862,0.0003862,0.0003862
